dispnum,ccode1,ccode2,styear,war,fatal,dyad_id,year,sd_w5,shared_us_w5,same_top5,both_imp_w5,ally_defense,cinc_diff,regime_dist,ln_capdist,ln_trade_lag1,py,py2,py3,unga,cwera
2770,94,95,1988,0,0.0,94_95,1988,1.0,1.0,1.0,1.0,1.0,4.345418999999998e-05,0.744,6.238129293463538,4.219022337404224,43.0,18.49,79.507,0.6631484999999999,1
2771,91,93,1988,0,0.0,91_93,1988,0.0,0.0,0.0,1.0,1.0,0.00019799127,0.017,5.485626464853031,1.5880076356348491,1.0,0.01,0.001,0.5223141,1
2772,630,692,1988,0,0.0,630_692,1988,0.0,0.0,0.0,1.0,0.0,0.0107426511,0.127,6.964135612418245,2.573680361841428,2.0,0.04,0.008,0.8048023,1
2773,20,220,1988,0,0.0,20_220,1988,0.0,0.0,0.0,1.0,1.0,0.0073655859999999,0.039,8.639410824140487,7.752421107180992,1.0,0.01,0.001,0.4646429999999999,1
2774,2,645,1988,0,0.0,2_645,1988,0.0,0.0,0.0,1.0,0.0,0.123562068,0.781,9.207386012149746,7.153403685636416,1.0,0.01,0.001,4.103176,1
2775,2,620,1988,0,0.0,2_620,1988,0.0,0.0,0.0,1.0,0.0,0.1328211925,0.79,8.963160242833732,3.1623372189076577,2.0,0.04,0.008,4.526482,1
2776,800,812,1987,0,1.0,800_812,1987,0.0,0.0,0.0,1.0,0.0,0.00468182153,0.257,6.258624983838966,3.5601933896192417,1.0,0.01,0.001,0.9791672,1
2777,775,800,1987,0,0.0,775_800,1987,0.0,0.0,0.0,1.0,0.0,0.0019116962999999,0.189,6.7067400797409285,3.5636911041755703,2.0,0.04,0.008,0.1331977,1
2778,750,780,1987,0,0.0,750_780,1987,0.0,0.0,0.0,1.0,0.0,0.0565643998,0.196,7.797085829273509,4.499634521659299,2.0,0.04,0.008,0.1776727,1
2779,750,771,1987,0,1.0,750_771,1987,0.0,0.0,0.0,1.0,0.0,0.0517872588,0.341,7.263119364120769,4.191440616100572,1.0,0.01,0.001,0.2540131,1
2780,710,816,1987,0,0.0,710_816,1987,0.0,0.0,0.0,1.0,0.0,0.0986115229999999,0.059,7.752550009151222,0.0,1.0,0.01,0.001,1.4190649,1
2782,710,713,1987,0,0.0,710_713,1987,0.0,0.0,0.0,1.0,0.0,0.1043623148,0.094,7.451067453782427,,20.0,4.0,8.0,,1
2783,680,698,1987,0,1.0,680_698,1987,0.0,0.0,0.0,1.0,0.0,0.0001173784599999,0.103,7.534174877491373,3.803679199738092,5.0,0.25,0.125,1.36161493,1
2784,645,900,1987,0,0.0,645_900,1987,,,,,,,,,,,,,,1
2785,645,830,1987,0,0.0,645_830,1987,,,,,,,,,,,,,,1
2786,645,652,1987,0,0.0,645_652,1987,1.0,0.0,1.0,1.0,1.0,0.0063748951,0.0619999999999999,6.622869293832357,0.1823215567939546,5.0,0.25,0.125,0.845291,1
2788,640,645,1987,0,0.0,640_645,1987,0.0,0.0,0.0,1.0,0.0,0.002291385,0.3429999999999999,7.141165942652124,7.228603958103669,2.0,0.04,0.008,2.0020495,1
2789,630,830,1987,0,0.0,630_830,1987,,,,,,,,,,,,,,1
2790,630,781,1987,0,0.0,630_781,1987,,,,,,,,,,,,,,1
2791,630,770,1987,0,0.0,630_770,1987,0.0,0.0,1.0,1.0,0.0,0.0007951202999999,0.0,7.594582530797263,5.08431936689353,42.0,17.64,74.088,0.7752507,1
2792,630,750,1987,0,0.0,630_750,1987,,,,,,,,,,,,,,1
2793,630,740,1987,0,0.0,630_740,1987,,,,,,,,,,,,,,1
2794,630,732,1987,0,0.0,630_732,1987,,,,,,,,,,,,,,1
2796,630,694,1987,0,0.0,630_694,1987,0.0,0.0,0.0,1.0,0.0,0.00879790815,0.155,7.055916629962658,2.6390573296152584,1.0,0.01,0.001,0.793131,1
2797,630,690,1987,0,0.0,630_690,1987,0.0,0.0,0.0,1.0,0.0,0.007882789,0.083,6.652475857637857,3.3592003915493134,1.0,0.01,0.001,0.5987429,1
2798,630,670,1987,0,0.0,630_670,1987,0.0,0.0,0.0,1.0,0.0,0.0020822701,0.157,7.174111564719166,3.828641396489095,1.0,0.01,0.001,1.0454964,1
2799,630,640,1987,0,1.0,630_640,1987,0.0,0.0,0.0,1.0,0.0,0.0036869182999999,0.253,7.435379021024008,7.491711227159996,1.0,0.01,0.001,2.1267065,1
2800,541,560,1987,0,0.0,541_560,1987,0.0,0.0,0.0,1.0,0.0,0.0070131703,0.0949999999999999,7.393386164113572,0.0,4.0,0.16,0.064,,1
2801,541,560,1987,0,0.0,541_560,1987,0.0,0.0,0.0,1.0,0.0,0.0070131703,0.0949999999999999,7.393386164113572,0.0,4.0,0.16,0.064,,1
2802,530,625,1987,0,,530_625,1987,0.0,0.0,0.0,1.0,0.0,0.002045872,0.272,6.899723107284872,0.9386063949276284,1.0,0.01,0.001,0.6199667,1
2803,530,625,1986,0,0.0,530_625,1986,0.0,0.0,0.0,1.0,0.0,0.0020247729,0.259,6.899723107284872,1.1456281495332536,3.0,0.09,0.027,0.6182025,1
2804,500,501,1987,0,1.0,500_501,1987,0.0,0.0,0.0,1.0,0.0,0.0005364393899999,0.059,6.22317132908268,4.763787674753788,11.0,1.21,1.331,0.5027269000000001,1
2805,490,500,1987,0,1.0,490_500,1987,0.0,0.0,0.0,1.0,0.0,0.0017228741899999,0.0259999999999999,7.594733470396553,0.0,10.0,1.0,1.0,1.0678715,1
2806,484,490,1987,0,,484_490,1987,0.0,0.0,0.0,1.0,0.0,0.0022178816,0.0379999999999999,2.163323025660538,1.6154383139635358,7.0,0.49,0.343,1.125042,1
2807,471,475,1987,0,0.0,471_475,1987,0.0,0.0,0.0,1.0,0.0,0.00565067862,0.014,6.592633490771575,1.8646502938152525,6.0,0.36,0.216,0.7611993,1
2808,450,630,1987,0,0.0,450_630,1987,,,,,,,,,,,,,,1
2809,435,600,1987,0,0.0,435_600,1987,0.0,0.0,0.0,1.0,0.0,0.00319436794,0.057,7.596593187953984,0.6386909894840554,7.0,0.49,0.343,0.110939,1
2810,551,560,1987,0,0.0,551_560,1987,,,,,,,,,,,,,,1
2810,560,571,1987,0,0.0,560_571,1987,0.0,0.0,0.0,1.0,0.0,0.008103826042,0.479,7.139581030679181,,1.0,0.01,0.001,,1
2811,95,645,1987,0,0.0,95_645,1987,,,,,,,,,,,,,,1
