year,ccode1,ccode2,onset,sd_w5,same_top5,ally_ff,regime_dist,ln_capdist,py,py2,py3,dyad_id
2015,2,390,0,0,0,1,0.02100000000000002,8.781494041030106,70,49.0,343.0,2_390
2015,2,395,0,0,0,1,0.039000000000000035,8.415736158358627,70,49.0,343.0,2_395
2015,2,402,0,0,0,0,0.10499999999999998,8.672314828283538,70,49.0,343.0,2_402
2015,2,411,0,0,0,0,0.722,9.146889259395566,70,49.0,343.0,2_411
2015,2,432,0,0,0,0,0.357,8.898734391405029,70,49.0,343.0,2_432
2015,2,433,0,0,0,0,0.17400000000000004,8.75965297724703,70,49.0,343.0,2_433
2015,2,434,0,0,0,0,0.248,9.065649803854416,70,49.0,343.0,2_434
2015,2,435,0,0,0,0,0.46900000000000003,8.744440311563185,70,49.0,343.0,2_435
2015,2,436,0,0,0,0,0.278,9.0044471740685,70,49.0,343.0,2_436
2015,2,437,0,0,0,0,0.42700000000000005,9.00794263047263,11,1.21,1.331,2_437
2015,2,438,0,0,0,0,0.525,8.86047079036889,70,49.0,343.0,2_438
2015,2,439,0,0,0,0,0.524,8.974731956016894,70,49.0,343.0,2_439
2015,2,451,0,0,0,0,0.386,8.876209392472346,70,49.0,343.0,2_451
2015,2,452,0,0,0,0,0.16100000000000003,9.045819439807735,70,49.0,343.0,2_452
2015,2,461,0,0,0,0,0.42900000000000005,9.055369355765022,70,49.0,343.0,2_461
2015,2,471,0,0,0,0,0.5760000000000001,9.17093404159709,70,49.0,343.0,2_471
2015,2,475,0,0,0,0,0.346,9.094502942400215,70,49.0,343.0,2_475
2015,2,481,0,0,0,0,0.525,9.177548549151192,70,49.0,343.0,2_481
2015,2,482,0,0,0,0,0.6160000000000001,9.228779324792786,70,49.0,343.0,2_482
2015,2,483,0,0,0,0,0.621,9.142532512370941,70,49.0,343.0,2_483
2015,2,484,0,0,0,0,0.651,9.259768427887506,70,49.0,343.0,2_484
2015,2,490,0,0,0,0,0.5840000000000001,9.26043444758825,70,49.0,343.0,2_490
2015,2,500,0,0,0,0,0.6000000000000001,9.364785294224179,70,49.0,343.0,2_500
2015,2,501,0,0,0,0,0.361,9.4044669742199,70,49.0,343.0,2_501
2015,2,510,0,0,0,0,0.447,9.425701720348336,70,49.0,343.0,2_510
2015,2,516,0,0,0,0,0.704,9.363970916556553,70,49.0,343.0,2_516
2015,2,517,0,0,0,0,0.674,9.360328113071203,70,49.0,343.0,2_517
2015,2,520,0,0,0,0,0.738,9.440642241288705,7,0.49,0.343,2_520
